Input Sample,CT2,CT3,CT4,CT5,P-value,Pearson Correlation,RMSE
Mixed_1,0.158683103,0.556586331,0.038255507,0.24647506,0,0.933901177,0.389900873
Mixed_2,0.435463986,0.225585489,0.103255152,0.235695374,0,0.809158588,0.596290697
Mixed_3,0.295406251,0.422147343,0.16781759,0.114628816,0,0.798943977,0.605009141
Mixed_4,0.170158992,0.327554211,0.114774908,0.387511888,0,0.849803641,0.538470707
Mixed_5,0.11909953,0.615705041,0.134938388,0.130257042,0,0.573531548,0.846275356
Mixed_6,0.120162049,0.131988672,0.459359682,0.288489597,0,0.887436521,0.478202333
Mixed_7,0.310048961,0.281326176,0.285365109,0.123259754,0,0.753210328,0.658089836
Mixed_8,0.234105064,0.185996874,0.472312401,0.107585661,0,0.927602552,0.414698953
Mixed_9,0.685779414,0.204214687,0.076270276,0.033735623,0,0.815621825,0.58099824
Mixed_10,0.556101028,0.123491842,0.126701064,0.193706066,0,0.898830787,0.474492085
Mixed_11,0.340999285,0.209012479,0.363341105,0.086647131,0,0.921744642,0.436310896
Mixed_12,0.499453512,0.267325668,0.076987721,0.156233099,0,0.605724691,0.801410791
Mixed_13,0.427101496,0.112390851,0.116372058,0.344135594,0,0.512593245,0.880147441
Mixed_14,0.218222717,0.19018935,0.369764243,0.221823689,0,0.502720763,0.889233892
Mixed_15,0.395171093,0.088048576,0.060505351,0.456274981,0,0.866467225,0.513259152
Mixed_16,0.229336091,0.231557707,0.470672354,0.068433847,0,0.90700052,0.448655778
Mixed_17,0.469894038,0.159784339,0.339426398,0.030895225,0,0.914714615,0.442268653
Mixed_18,0.262594505,0.224870476,0.105389632,0.407145387,0,0.850386662,0.540071437
Mixed_19,0.120820127,0.386292466,0.052584221,0.440303186,0,0.85186896,0.529424232
Mixed_20,0.33122777,0.424706753,0.136650489,0.107414988,0,0.632182206,0.778875826
Mixed_21,0.764636944,0.127965672,0.040938425,0.066458959,0,0.915496169,0.425558929
Mixed_22,0.567971958,0.197493026,0.055491575,0.179043441,0,0.625227569,0.784931722
Mixed_23,0.320300808,0.400176335,0.056724469,0.222798388,0,0.925148626,0.429727067
Mixed_24,0.275695715,0.318224705,0.217441307,0.188638272,0,0.737202162,0.675173188
Mixed_25,0.693248937,0.181296917,0.033625022,0.091829124,0,0.283242745,1.067224295
